985306635244572672,,2018-04-14 23:59:42,0,964,"b""RT @NBA: Ahead of today's @Sixers #NBAPlayoffs opener... we showcase @BenSimmons25's best dimes! \n\n\xf0\x9f\x8f\x80: #PhilaUnite x #WhiteHot\n\xe2\x8f\xb0: 8pm/et \n\xf0\x9f\x93\xba:\xe2\x80\xa6""","[{'text': 'NBAPlayoffs', 'indices': [34, 46]}, {'text': 'PhilaUnite', 'indices': [102, 113]}, {'text': 'WhiteHot', 'indices': [116, 125]}]"
985306634435080192,Central Time (US & Canada),2018-04-14 23:59:42,0,0,b'You gotta be kidding that\xe2\x80\x99s game #NBA #NBAnaESPN #NBAPlayoff #WizRaptors #ThaEndOfDaBench',"[{'text': 'NBA', 'indices': [33, 37]}, {'text': 'NBAnaESPN', 'indices': [38, 48]}, {'text': 'NBAPlayoff', 'indices': [49, 60]}, {'text': 'WizRaptors', 'indices': [61, 72]}, {'text': 'ThaEndOfDaBench', 'indices': [73, 89]}]"
985306632711213056,Pacific Time (US & Canada),2018-04-14 23:59:42,0,0,b'Wall can\xe2\x80\x99t finish at the hoop on back to back possessions smh #NBA #Wizards',"[{'text': 'NBA', 'indices': [62, 66]}, {'text': 'Wizards', 'indices': [67, 75]}]"
985306632669356034,Quito,2018-04-14 23:59:41,0,0,b'Fuck the refs and fuck the Raptors. #NBA #NBAIsFixed',"[{'text': 'NBA', 'indices': [36, 40]}, {'text': 'NBAIsFixed', 'indices': [41, 52]}]"
985306632308580354,Pacific Time (US & Canada),2018-04-14 23:59:41,0,0,b'@NBA WHAT ARE THESE REFS RN?!?!?!?!?!??!?!?!?!?!?!?!?!?!?!?!?!? FUCK',[]
985306629523607552,Mountain Time (US & Canada),2018-04-14 23:59:41,659,178,b'#AllEyesNorth as the @Timberwolves head to the NBA playoffs. Governor Mark Dayton has proclaimed April 15th as Minn\xe2\x80\xa6 https://t.co/fpHaeUs16t',"[{'text': 'AllEyesNorth', 'indices': [0, 13]}]"
985306627661156352,,2018-04-14 23:59:40,0,291,"b'RT @NBA: 18 in the 2nd half, 27 total... Klay Thompson is on fire!\n\n@warriors on top 103-79!\n\n#DubNation #NBAonABC https://t.co/LDzSOyNOVG'","[{'text': 'DubNation', 'indices': [94, 104]}, {'text': 'NBAonABC', 'indices': [105, 114]}]"
985306627476668416,,2018-04-14 23:59:40,0,329,b'RT @NBA: Markelle Fultz works on getting to the rim ahead of his #NBAPlayoffs debut with the @sixers 8pm/et @ESPNNBA! #PhilaUnite https://t\xe2\x80\xa6',"[{'text': 'NBAPlayoffs', 'indices': [65, 77]}, {'text': 'PhilaUnite', 'indices': [118, 129]}]"
985306626134507520,Pacific Time (US & Canada),2018-04-14 23:59:40,0,798,b'RT @NBA: MOOD IN THE SIX! #WeTheNorth https://t.co/YVg0iHozWI',"[{'text': 'WeTheNorth', 'indices': [26, 37]}]"
985306625639698433,,2018-04-14 23:59:40,0,0,"b""@Raptors @OfficialNBARefs @NBA Seriously? Can the Refs please have a heart and be fair? God don't like ugly guys! N\xe2\x80\xa6 https://t.co/FzDt7ALkfE""",[]
985306625501097984,Pacific Time (US & Canada),2018-04-14 23:59:40,0,35,b'RT @bballbreakdown: Delon Wright might be the most underrated player in the NBA https://t.co/80UNbakK9q',[]
985306624859525120,,2018-04-14 23:59:40,0,0,"b""@espn @ESPNNBA @NBA @NBAonTNT @NBAPlayoffDaily @nbaplayoffstnt @russwest44 @KDTrey5 y'all know OKC would've destroy\xe2\x80\xa6 https://t.co/Cu7WD442vb""",[]
985306623991336960,,2018-04-14 23:59:39,0,5,b'RT @kushesha: #VGMA2018 we rooting for our man dem chale @KwesiArthur_',"[{'text': 'VGMA2018', 'indices': [14, 23]}]"
985306620560396290,,2018-04-14 23:59:39,0,1,b'RT @___EasyMoney: I hate how soft the nba is lol',[]
985306620270993408,,2018-04-14 23:59:39,0,109,b'RT @mikekorz: My life goal is to sit court side next to Drake at an NBA game... If that ever happens I think I can die happy',[]
985306620161871872,Eastern Time (US & Canada),2018-04-14 23:59:39,0,6,"b""RT @ProCityHoops: John Wall has been crazy out of control down the stretch. It's hurt the Wizards a ton. #NBA""","[{'text': 'NBA', 'indices': [105, 109]}]"
985306619130003456,,2018-04-14 23:59:38,0,48,b'RT @NBA: #WhiteHot sharpshooter @WayneElli22 warms up for today\xe2\x80\x99s @MiamiHEAT #NBAPlayoffs opener in Philly! https://t.co/xoIlaJtzaK',"[{'text': 'WhiteHot', 'indices': [9, 18]}, {'text': 'NBAPlayoffs', 'indices': [77, 89]}]"
985306618429607936,Pacific Time (US & Canada),2018-04-14 23:59:38,0,0,b'Where #Raptrors biggest cheerleader aka #Drake. #NBAPlayoffs  #NBA',"[{'text': 'Raptrors', 'indices': [6, 15]}, {'text': 'Drake', 'indices': [40, 46]}, {'text': 'NBAPlayoffs', 'indices': [48, 60]}, {'text': 'NBA', 'indices': [62, 66]}]"
985306615191613440,Central Time (US & Canada),2018-04-14 23:59:37,0,200,b'RT @GSWdelivery: 15 wins to go \n\n\xe2\x9c\x85\xe2\xac\x9c\xef\xb8\x8f\xe2\xac\x9c\xef\xb8\x8f\xe2\xac\x9c\xef\xb8\x8f 1st Round \xf0\x9f\x91\xb4\xf0\x9f\x8f\xbb = \n\xe2\xac\x9c\xef\xb8\x8f\xe2\xac\x9c\xef\xb8\x8f\xe2\xac\x9c\xef\xb8\x8f\xe2\xac\x9c\xef\xb8\x8f 2nd Round = \n\xe2\xac\x9c\xef\xb8\x8f\xe2\xac\x9c\xef\xb8\x8f\xe2\xac\x9c\xef\xb8\x8f\xe2\xac\x9c\xef\xb8\x8f Conf. Finals = \n\xe2\xac\x9c\xef\xb8\x8f\xe2\xac\x9c\xef\xb8\x8f\xe2\xac\x9c\xef\xb8\x8f\xe2\xac\x9c\xef\xb8\x8f NBA Finals\n\n= \xf0\x9f\x8f\x86\xf0\x9f\x92\x8d\n\n#DubNati\xe2\x80\xa6',[]
985306614826782721,Atlantic Time (Canada),2018-04-14 23:59:37,0,0,b'Well we kno who the nba got goin to the next round \xf0\x9f\x98\xad\xf0\x9f\x8c\x9a',[]
985306611349569536,Mountain Time (US & Canada),2018-04-14 23:59:36,0,0,b'@Kidparkinsons @VicLombardi How was the NBA and MLB attendance in Nashville that year?',[]
985306610091180033,,2018-04-14 23:59:36,0,176,"b'RT @NBA: Pump fake, side step, let it fly! \xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\n\n10 PTS for Delon Wright in the 4th.\n\n#WeTheNorth @ESPNNBA https://t.co/Z467MeAHf7'","[{'text': 'WeTheNorth', 'indices': [85, 96]}]"
985306608665333766,,2018-04-14 23:59:36,0,56,b'RT @JavonteSmart: Meek x nba youngboy \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5... sick',[]
985306605830004736,Pacific Time (US & Canada),2018-04-14 23:59:35,0,0,b'NBA Playoffs: Markieff Morris leaves Game 1 vs. Raptors in 4th quarter with apparent ankle injury (ESPN)',[]
985306605636988929,,2018-04-14 23:59:35,0,798,b'RT @NBA: MOOD IN THE SIX! #WeTheNorth https://t.co/YVg0iHozWI',"[{'text': 'WeTheNorth', 'indices': [26, 37]}]"
985306605595086848,Eastern Time (US & Canada),2018-04-14 23:59:35,0,0,b'These NBA games been so lit lately..',[]
985306604974125058,,2018-04-14 23:59:35,0,0,"b""The Raptors when they don't play like shit in the playoffs for one game #NBA #NBAPlayoffs https://t.co/oZWFMaMzxa""","[{'text': 'NBA', 'indices': [72, 76]}, {'text': 'NBAPlayoffs', 'indices': [77, 89]}]"
985306604936540160,,2018-04-14 23:59:35,0,1040,b'RT @RTNBA: NBA Playoff Preview ft J.Cole \xf0\x9f\x94\xa5\n\nVia @ESPNNBA https://t.co/hssRvxbjNV',[]
985306604672311296,Central Time (US & Canada),2018-04-14 23:59:35,0,0,b'JOHN WALL IS GETTING MURDERED WHERE\xe2\x80\x99S THE FOUL @NBA',[]
985306601820127234,,2018-04-14 23:59:34,0,86,b'RT @NBA: Beal takes the contact and drops it in!\n\n#DCFamily @ESPNNBA https://t.co/2F6S1CcVd8',"[{'text': 'DCFamily', 'indices': [50, 59]}]"
985306599353921536,,2018-04-14 23:59:34,0,11,b'RT @BSO: Matt Barnes on Ex-Wife Gloria Govan Secretly Stealing Money Out of His Accounts While He Was on Road in NBA &amp; Forging His Signatur\xe2\x80\xa6',[]
985306598489972736,,2018-04-14 23:59:33,0,0,b'To win a NBA championship It\xe2\x80\x99s all about the role players!',[]
985306597869076481,Pacific Time (US & Canada),2018-04-14 23:59:33,0,0,b'@NBA bring back the justin timberlake / jamie foxx playoffs promo',[]
985306596799492096,,2018-04-14 23:59:33,1,0,b'@noneofurchicken @NBA @Raptors @WashWizards @ESPNNBA They were reviewing a shot clock violation by morris',[]
985306594287042560,,2018-04-14 23:59:32,0,9828,b'RT @StephenCurry30: That time again! . #dubnation https://t.co/j5AgmELk5c',"[{'text': 'dubnation', 'indices': [39, 49]}]"
985306592898928641,Central Time (US & Canada),2018-04-14 23:59:32,0,798,b'RT @NBA: MOOD IN THE SIX! #WeTheNorth https://t.co/YVg0iHozWI',"[{'text': 'WeTheNorth', 'indices': [26, 37]}]"
985306586083016704,,2018-04-14 23:59:30,0,126,"b""RT @mellentuck: Gregg Popovich was rude towards a bunch of media members again today. There are times when it's deserved, but that wasn't t\xe2\x80\xa6""",[]
985306586078904321,Eastern Time (US & Canada),2018-04-14 23:59:30,0,0,b'NBA Playoffs \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5',[]
985306585617633280,Central Time (US & Canada),2018-04-14 23:59:30,0,0,b'Wall gets 0 respect in the NBA',[]
985306584418054144,Central Time (US & Canada),2018-04-14 23:59:30,0,0,b'Boy if this was happening to Lebron every official would have a meeting at the @NBA offices tonight',[]
985306584023748609,,2018-04-14 23:59:30,0,0,b'Nba officials are trying John Wall with the no foul call \xf0\x9f\x98\xa4',[]
985306582073401345,Central Time (US & Canada),2018-04-14 23:59:29,0,57,"b""RT @KevinOConnorNBA: How's your day, @SheaSerrano? https://t.co/NK781iX86z https://t.co/dZknWrEJXW""",[]
985306581846773760,,2018-04-14 23:59:29,0,964,"b""RT @NBA: Ahead of today's @Sixers #NBAPlayoffs opener... we showcase @BenSimmons25's best dimes! \n\n\xf0\x9f\x8f\x80: #PhilaUnite x #WhiteHot\n\xe2\x8f\xb0: 8pm/et \n\xf0\x9f\x93\xba:\xe2\x80\xa6""","[{'text': 'NBAPlayoffs', 'indices': [34, 46]}, {'text': 'PhilaUnite', 'indices': [102, 113]}, {'text': 'WhiteHot', 'indices': [116, 125]}]"
985306580949262336,Pacific Time (US & Canada),2018-04-14 23:59:29,0,1135,b'RT @NBA: #NBAKicks for #NBAPlayoffs for John Wall! https://t.co/UTh37Ctl6o',"[{'text': 'NBAKicks', 'indices': [9, 18]}, {'text': 'NBAPlayoffs', 'indices': [23, 35]}]"
985306577870696448,,2018-04-14 23:59:28,0,0,b'https://t.co/qeiEgE9Xec Any good spots to catch the NBA Playoffs in the Domain? #ATX',"[{'text': 'ATX', 'indices': [80, 84]}]"
985306575907811329,,2018-04-14 23:59:28,1,0,"b""@ClubCarmenXXX I'm going in July for NBA Summer League. It's hella fun if you're a Bball fan!""",[]
985306575026864128,Pacific Time (US & Canada),2018-04-14 23:59:28,0,0,"b'10pt TOR lead, 90 secs left. #WASvsTOR #NBAPlayoffs #DCFamily\xc2\xa0 #WeTheNorth\xc2\xa0 #NBA'","[{'text': 'WASvsTOR', 'indices': [29, 38]}, {'text': 'NBAPlayoffs', 'indices': [39, 51]}, {'text': 'DCFamily', 'indices': [52, 61]}, {'text': 'WeTheNorth', 'indices': [63, 74]}, {'text': 'NBA', 'indices': [76, 80]}]"
985306573999366144,,2018-04-14 23:59:28,0,0,b'@ZachLowe_NBA wowwww raptors game 1',[]
985306573978218496,Eastern Time (US & Canada),2018-04-14 23:59:28,0,0,b'PREAAAAACHHHH @nba @Raptors https://t.co/LQKJHiapOy',[]
985306572296544257,,2018-04-14 23:59:27,0,681,b'RT @NBA: The BEST REACTIONS from the 2017-2018 NBA Season! #BESTofNBA https://t.co/f8ZK0SnA1m',"[{'text': 'BESTofNBA', 'indices': [59, 69]}]"
985306570123808768,,2018-04-14 23:59:27,0,0,b'NBA REFS STAY RUINING GAMES BRO',[]
