user_id,time_zone,created_at,fav,retweet,text,tags
9.85E+17,Pacific Time (US & Canada),4/14/2018 23:59,0,0,b'https://t.co/qeiEgE9Xec Any good spots to catch the NBA Playoffs in the Domain? #ATX',"[{'text': 'ATX', 'indices': [80, 84]}]"
9.85E+17,Paris,4/14/2018 23:59,1,0,"b""@ClubCarmenXXX I'm going in July for NBA Summer League. It's hella fun if you're a Bball fan!""",[]
9.85E+17,Eastern Time (US & Canada),4/14/2018 23:59,0,0,"b'10pt TOR lead, 90 secs left. #WASvsTOR #NBAPlayoffs #DCFamily\xc2\xa0 #WeTheNorth\xc2\xa0 #NBA'","[{'text': 'WASvsTOR', 'indices': [29, 38]}, {'text': 'NBAPlayoffs', 'indices': [39, 51]}, {'text': 'DCFamily', 'indices': [52, 61]}, {'text': 'WeTheNorth', 'indices': [63, 74]}, {'text': 'NBA', 'indices': [76, 80]}]"
9.85E+17,Pacific Time (US & Canada),4/14/2018 23:59,0,0,b'@ZachLowe_NBA wowwww raptors game 1',[]
9.85E+17,Pacific Time (US & Canada),4/14/2018 23:59,0,0,b'PREAAAAACHHHH @nba @Raptors https://t.co/LQKJHiapOy',[]
9.85E+17,London,4/14/2018 23:59,0,681,b'RT @NBA: The BEST REACTIONS from the 2017-2018 NBA Season! #BESTofNBA https://t.co/f8ZK0SnA1m',"[{'text': 'BESTofNBA', 'indices': [59, 69]}]"
9.85E+17,Eastern Time (US & Canada),4/14/2018 23:59,0,0,b'NBA REFS STAY RUINING GAMES BRO',[]
9.85E+17,Eastern Time (US & Canada),4/14/2018 23:59,0,0,b'Nba playoffs\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5',[]
9.85E+17,America/New_York,4/14/2018 23:59,0,0,b'John wall worst finisher in NBA?',[]
9.85E+17,Central Time (US & Canada),4/14/2018 23:59,3,0,b'Russell Westbrook is wearing the Air Jordan 29. https://t.co/1z27ajzDMA',[]
9.85E+17,Mountain Time (US & Canada),4/14/2018 23:59,0,184,"b'RT @NBA: ""Everything right now!""\n\nJonas Valanciunas is mic\'d up for the @Raptors on @ESPNNBA! #WeTheNorth https://t.co/x3O0uIuwk3'","[{'text': 'WeTheNorth', 'indices': [94, 105]}]"
9.85E+17,Eastern Time (US & Canada),4/14/2018 23:59,1,0,b'They just not gonna call fouls for Wall? He taking all sorts of contact',[]
9.85E+17,Central Time (US & Canada),4/14/2018 23:59,0,1,"b'RT @ActionNetworkHQ: The Heat and 76ers (-6) tip off in approximately 45 minutes!\n\nThey played four times this season, splitting 2-2, and t\xe2\x80\xa6'",[]
9.85E+17,Pacific Time (US & Canada),4/14/2018 23:59,0,0,b'John Wall out there selling ass like a good ole hooker. #NBA',"[{'text': 'NBA', 'indices': [56, 60]}]"
9.85E+17,Pacific Time (US & Canada),4/14/2018 23:59,0,5445,"b""RT @el_budget: Had Bron finished this the league would've just had to tell Jerey West and that weak ass dribble move to take a hike because\xe2\x80\xa6""",[]
9.85E+17,Atlantic Time (Canada),4/14/2018 23:59,0,265,b'RT @Marlins: Best of luck to the @MiamiHEAT as they head into the 2018 NBA Playoffs!\n\n#WhiteHot | #JuntosMiami https://t.co/WPGFOV1CSD',"[{'text': 'WhiteHot', 'indices': [86, 95]}, {'text': 'JuntosMiami', 'indices': [98, 110]}]"
